,week_number,death_yn,cdc_case_earliest_dt,cdc_report_dt,year,month,year_month,week_range
285,2022-09-20,Yes,2022-09-20,1436,2022,9,2022-09,2022-09-20 to 2022-09-26
286,2022-09-27,No,2022-09-27,68171,2022,9,2022-09,2022-09-27 to 2022-10-03
287,2022-09-27,Yes,2022-09-27,1389,2022,9,2022-09,2022-09-27 to 2022-10-03
288,2022-10-04,No,2022-10-04,59728,2022,10,2022-10,2022-10-04 to 2022-10-10
289,2022-10-04,Yes,2022-10-04,1382,2022,10,2022-10,2022-10-04 to 2022-10-10
290,2022-10-11,No,2022-10-11,63398,2022,10,2022-10,2022-10-11 to 2022-10-17
291,2022-10-11,Yes,2022-10-11,1422,2022,10,2022-10,2022-10-11 to 2022-10-17
292,2022-10-18,No,2022-10-18,60128,2022,10,2022-10,2022-10-18 to 2022-10-24
293,2022-10-18,Yes,2022-10-18,1383,2022,10,2022-10,2022-10-18 to 2022-10-24
294,2022-10-25,No,2022-10-25,60886,2022,10,2022-10,2022-10-25 to 2022-10-31
295,2022-10-25,Yes,2022-10-25,1499,2022,10,2022-10,2022-10-25 to 2022-10-31
296,2022-11-01,No,2022-11-01,65203,2022,11,2022-11,2022-11-01 to 2022-11-07
297,2022-11-01,Yes,2022-11-01,1590,2022,11,2022-11,2022-11-01 to 2022-11-07
298,2022-11-08,No,2022-11-08,55977,2022,11,2022-11,2022-11-08 to 2022-11-14
299,2022-11-08,Yes,2022-11-08,1627,2022,11,2022-11,2022-11-08 to 2022-11-14
300,2022-11-15,No,2022-11-15,57384,2022,11,2022-11,2022-11-15 to 2022-11-21
301,2022-11-15,Yes,2022-11-15,1807,2022,11,2022-11,2022-11-15 to 2022-11-21
302,2022-11-22,No,2022-11-22,69086,2022,11,2022-11,2022-11-22 to 2022-11-28
303,2022-11-22,Yes,2022-11-22,2181,2022,11,2022-11,2022-11-22 to 2022-11-28
304,2022-11-29,No,2022-11-29,85861,2022,11,2022-11,2022-11-29 to 2022-12-05
305,2022-11-29,Yes,2022-11-29,2515,2022,11,2022-11,2022-11-29 to 2022-12-05
306,2022-12-06,No,2022-12-06,91008,2022,12,2022-12,2022-12-06 to 2022-12-12
307,2022-12-06,Yes,2022-12-06,2494,2022,12,2022-12,2022-12-06 to 2022-12-12
308,2022-12-13,No,2022-12-13,92168,2022,12,2022-12,2022-12-13 to 2022-12-19
309,2022-12-13,Yes,2022-12-13,2355,2022,12,2022-12,2022-12-13 to 2022-12-19
310,2022-12-20,No,2022-12-20,76696,2022,12,2022-12,2022-12-20 to 2022-12-26
311,2022-12-20,Yes,2022-12-20,2439,2022,12,2022-12,2022-12-20 to 2022-12-26
312,2022-12-27,No,2022-12-27,93846,2022,12,2022-12,2022-12-27 to 2023-01-02
313,2022-12-27,Yes,2022-12-27,2753,2022,12,2022-12,2022-12-27 to 2023-01-02
314,2023-01-03,No,2023-01-03,89439,2023,1,2023-01,2023-01-03 to 2023-01-09
315,2023-01-03,Yes,2023-01-03,2295,2023,1,2023-01,2023-01-03 to 2023-01-09
316,2023-01-10,No,2023-01-10,68299,2023,1,2023-01,2023-01-10 to 2023-01-16
317,2023-01-10,Yes,2023-01-10,1819,2023,1,2023-01,2023-01-10 to 2023-01-16
318,2023-01-17,No,2023-01-17,68223,2023,1,2023-01,2023-01-17 to 2023-01-23
319,2023-01-17,Yes,2023-01-17,1590,2023,1,2023-01,2023-01-17 to 2023-01-23
320,2023-01-24,No,2023-01-24,63266,2023,1,2023-01,2023-01-24 to 2023-01-30
321,2023-01-24,Yes,2023-01-24,1360,2023,1,2023-01,2023-01-24 to 2023-01-30
322,2023-01-31,No,2023-01-31,57074,2023,1,2023-01,2023-01-31 to 2023-02-06
323,2023-01-31,Yes,2023-01-31,1288,2023,1,2023-01,2023-01-31 to 2023-02-06
324,2023-02-07,No,2023-02-07,57222,2023,2,2023-02,2023-02-07 to 2023-02-13
325,2023-02-07,Yes,2023-02-07,1205,2023,2,2023-02,2023-02-07 to 2023-02-13
326,2023-02-14,No,2023-02-14,44660,2023,2,2023-02,2023-02-14 to 2023-02-20
327,2023-02-14,Yes,2023-02-14,1144,2023,2,2023-02,2023-02-14 to 2023-02-20
328,2023-02-21,No,2023-02-21,45060,2023,2,2023-02,2023-02-21 to 2023-02-27
329,2023-02-21,Yes,2023-02-21,1150,2023,2,2023-02,2023-02-21 to 2023-02-27
330,2023-02-28,No,2023-02-28,45802,2023,2,2023-02,2023-02-28 to 2023-03-06
331,2023-02-28,Yes,2023-02-28,933,2023,2,2023-02,2023-02-28 to 2023-03-06
332,2023-03-07,No,2023-03-07,35268,2023,3,2023-03,2023-03-07 to 2023-03-13
333,2023-03-07,Yes,2023-03-07,897,2023,3,2023-03,2023-03-07 to 2023-03-13
334,2023-03-14,No,2023-03-14,102512,2023,3,2023-03,2023-03-14 to 2023-03-20
335,2023-03-14,Yes,2023-03-14,811,2023,3,2023-03,2023-03-14 to 2023-03-20
336,2023-03-21,No,2023-03-21,27904,2023,3,2023-03,2023-03-21 to 2023-03-27
337,2023-03-21,Yes,2023-03-21,727,2023,3,2023-03,2023-03-21 to 2023-03-27
338,2023-03-28,No,2023-03-28,22661,2023,3,2023-03,2023-03-28 to 2023-04-03
339,2023-03-28,Yes,2023-03-28,613,2023,3,2023-03,2023-03-28 to 2023-04-03
340,2023-04-04,No,2023-04-04,19434,2023,4,2023-04,2023-04-04 to 2023-04-10
341,2023-04-04,Yes,2023-04-04,582,2023,4,2023-04,2023-04-04 to 2023-04-10
342,2023-04-11,No,2023-04-11,16835,2023,4,2023-04,2023-04-11 to 2023-04-17
343,2023-04-11,Yes,2023-04-11,492,2023,4,2023-04,2023-04-11 to 2023-04-17
344,2023-04-18,No,2023-04-18,14919,2023,4,2023-04,2023-04-18 to 2023-04-24
345,2023-04-18,Yes,2023-04-18,445,2023,4,2023-04,2023-04-18 to 2023-04-24
346,2023-04-25,No,2023-04-25,12842,2023,4,2023-04,2023-04-25 to 2023-05-01
347,2023-04-25,Yes,2023-04-25,352,2023,4,2023-04,2023-04-25 to 2023-05-01
348,2023-05-02,No,2023-05-02,12203,2023,5,2023-05,2023-05-02 to 2023-05-08
349,2023-05-02,Yes,2023-05-02,333,2023,5,2023-05,2023-05-02 to 2023-05-08
350,2023-05-09,No,2023-05-09,13319,2023,5,2023-05,2023-05-09 to 2023-05-15
351,2023-05-09,Yes,2023-05-09,304,2023,5,2023-05,2023-05-09 to 2023-05-15
352,2023-05-16,No,2023-05-16,10741,2023,5,2023-05,2023-05-16 to 2023-05-22
353,2023-05-16,Yes,2023-05-16,302,2023,5,2023-05,2023-05-16 to 2023-05-22
354,2023-05-23,No,2023-05-23,12558,2023,5,2023-05,2023-05-23 to 2023-05-29
355,2023-05-23,Yes,2023-05-23,293,2023,5,2023-05,2023-05-23 to 2023-05-29
356,2023-05-30,No,2023-05-30,10552,2023,5,2023-05,2023-05-30 to 2023-06-05
357,2023-05-30,Yes,2023-05-30,266,2023,5,2023-05,2023-05-30 to 2023-06-05
358,2023-06-06,No,2023-06-06,7119,2023,6,2023-06,2023-06-06 to 2023-06-12
359,2023-06-06,Yes,2023-06-06,244,2023,6,2023-06,2023-06-06 to 2023-06-12
360,2023-06-13,No,2023-06-13,6373,2023,6,2023-06,2023-06-13 to 2023-06-19
361,2023-06-13,Yes,2023-06-13,233,2023,6,2023-06,2023-06-13 to 2023-06-19
362,2023-06-20,No,2023-06-20,7729,2023,6,2023-06,2023-06-20 to 2023-06-26
363,2023-06-20,Yes,2023-06-20,237,2023,6,2023-06,2023-06-20 to 2023-06-26
364,2023-06-27,No,2023-06-27,10689,2023,6,2023-06,2023-06-27 to 2023-07-03
365,2023-06-27,Yes,2023-06-27,282,2023,6,2023-06,2023-06-27 to 2023-07-03
366,2023-07-04,No,2023-07-04,7969,2023,7,2023-07,2023-07-04 to 2023-07-10
367,2023-07-04,Yes,2023-07-04,227,2023,7,2023-07,2023-07-04 to 2023-07-10
368,2023-07-11,No,2023-07-11,9236,2023,7,2023-07,2023-07-11 to 2023-07-17
369,2023-07-11,Yes,2023-07-11,223,2023,7,2023-07,2023-07-11 to 2023-07-17
370,2023-07-18,No,2023-07-18,10779,2023,7,2023-07,2023-07-18 to 2023-07-24
371,2023-07-18,Yes,2023-07-18,266,2023,7,2023-07,2023-07-18 to 2023-07-24
372,2023-07-25,No,2023-07-25,14010,2023,7,2023-07,2023-07-25 to 2023-07-31
373,2023-07-25,Yes,2023-07-25,313,2023,7,2023-07,2023-07-25 to 2023-07-31
374,2023-08-01,No,2023-08-01,17388,2023,8,2023-08,2023-08-01 to 2023-08-07
375,2023-08-01,Yes,2023-08-01,394,2023,8,2023-08,2023-08-01 to 2023-08-07
376,2023-08-08,No,2023-08-08,17981,2023,8,2023-08,2023-08-08 to 2023-08-14
377,2023-08-08,Yes,2023-08-08,413,2023,8,2023-08,2023-08-08 to 2023-08-14
378,2023-08-15,No,2023-08-15,22019,2023,8,2023-08,2023-08-15 to 2023-08-21
379,2023-08-15,Yes,2023-08-15,459,2023,8,2023-08,2023-08-15 to 2023-08-21
380,2023-08-22,No,2023-08-22,26152,2023,8,2023-08,2023-08-22 to 2023-08-28
381,2023-08-22,Yes,2023-08-22,495,2023,8,2023-08,2023-08-22 to 2023-08-28
382,2023-08-29,No,2023-08-29,23416,2023,8,2023-08,2023-08-29 to 2023-09-04
383,2023-08-29,Yes,2023-08-29,492,2023,8,2023-08,2023-08-29 to 2023-09-04
384,2023-09-05,No,2023-09-05,33675,2023,9,2023-09,2023-09-05 to 2023-09-11
385,2023-09-05,Yes,2023-09-05,481,2023,9,2023-09,2023-09-05 to 2023-09-11
386,2023-09-12,No,2023-09-12,31003,2023,9,2023-09,2023-09-12 to 2023-09-18
387,2023-09-12,Yes,2023-09-12,431,2023,9,2023-09,2023-09-12 to 2023-09-18
388,2023-09-19,No,2023-09-19,28939,2023,9,2023-09,2023-09-19 to 2023-09-25
389,2023-09-19,Yes,2023-09-19,396,2023,9,2023-09,2023-09-19 to 2023-09-25
390,2023-09-26,No,2023-09-26,24762,2023,9,2023-09,2023-09-26 to 2023-10-02
391,2023-09-26,Yes,2023-09-26,245,2023,9,2023-09,2023-09-26 to 2023-10-02
392,2023-10-03,No,2023-10-03,18674,2023,10,2023-10,2023-10-03 to 2023-10-09
393,2023-10-03,Yes,2023-10-03,145,2023,10,2023-10,2023-10-03 to 2023-10-09
394,2023-10-10,No,2023-10-10,16983,2023,10,2023-10,2023-10-10 to 2023-10-16
395,2023-10-10,Yes,2023-10-10,74,2023,10,2023-10,2023-10-10 to 2023-10-16
396,2023-10-17,No,2023-10-17,7993,2023,10,2023-10,2023-10-17 to 2023-10-23
397,2023-10-17,Yes,2023-10-17,17,2023,10,2023-10,2023-10-17 to 2023-10-23
