,week_number,death_yn,cdc_case_earliest_dt,cdc_report_dt,year,month,year_month,week_range
57,2020-07-14,Yes,2020-07-14,7686,2020,7,2020-07,2020-07-14 to 2020-07-20
58,2020-07-21,No,2020-07-21,126347,2020,7,2020-07,2020-07-21 to 2020-07-27
59,2020-07-21,Yes,2020-07-21,7114,2020,7,2020-07,2020-07-21 to 2020-07-27
60,2020-07-28,No,2020-07-28,121895,2020,7,2020-07,2020-07-28 to 2020-08-03
61,2020-07-28,Yes,2020-07-28,6449,2020,7,2020-07,2020-07-28 to 2020-08-03
62,2020-08-04,No,2020-08-04,118868,2020,8,2020-08,2020-08-04 to 2020-08-10
63,2020-08-04,Yes,2020-08-04,6361,2020,8,2020-08,2020-08-04 to 2020-08-10
64,2020-08-11,No,2020-08-11,116800,2020,8,2020-08,2020-08-11 to 2020-08-17
65,2020-08-11,Yes,2020-08-11,5430,2020,8,2020-08,2020-08-11 to 2020-08-17
66,2020-08-18,No,2020-08-18,111072,2020,8,2020-08,2020-08-18 to 2020-08-24
67,2020-08-18,Yes,2020-08-18,4782,2020,8,2020-08,2020-08-18 to 2020-08-24
68,2020-08-25,No,2020-08-25,108070,2020,8,2020-08,2020-08-25 to 2020-08-31
69,2020-08-25,Yes,2020-08-25,4233,2020,8,2020-08,2020-08-25 to 2020-08-31
70,2020-09-01,No,2020-09-01,89385,2020,9,2020-09,2020-09-01 to 2020-09-07
71,2020-09-01,Yes,2020-09-01,3554,2020,9,2020-09,2020-09-01 to 2020-09-07
72,2020-09-08,No,2020-09-08,110018,2020,9,2020-09,2020-09-08 to 2020-09-14
73,2020-09-08,Yes,2020-09-08,3958,2020,9,2020-09,2020-09-08 to 2020-09-14
74,2020-09-15,No,2020-09-15,119347,2020,9,2020-09,2020-09-15 to 2020-09-21
75,2020-09-15,Yes,2020-09-15,4015,2020,9,2020-09,2020-09-15 to 2020-09-21
76,2020-09-22,No,2020-09-22,118270,2020,9,2020-09,2020-09-22 to 2020-09-28
77,2020-09-22,Yes,2020-09-22,4453,2020,9,2020-09,2020-09-22 to 2020-09-28
78,2020-09-29,No,2020-09-29,132302,2020,9,2020-09,2020-09-29 to 2020-10-05
79,2020-09-29,Yes,2020-09-29,4710,2020,9,2020-09,2020-09-29 to 2020-10-05
80,2020-10-06,No,2020-10-06,146600,2020,10,2020-10,2020-10-06 to 2020-10-12
81,2020-10-06,Yes,2020-10-06,5590,2020,10,2020-10,2020-10-06 to 2020-10-12
82,2020-10-13,No,2020-10-13,170935,2020,10,2020-10,2020-10-13 to 2020-10-19
83,2020-10-13,Yes,2020-10-13,6258,2020,10,2020-10,2020-10-13 to 2020-10-19
84,2020-10-20,No,2020-10-20,202116,2020,10,2020-10,2020-10-20 to 2020-10-26
85,2020-10-20,Yes,2020-10-20,7582,2020,10,2020-10,2020-10-20 to 2020-10-26
86,2020-10-27,No,2020-10-27,242925,2020,10,2020-10,2020-10-27 to 2020-11-02
87,2020-10-27,Yes,2020-10-27,8655,2020,10,2020-10,2020-10-27 to 2020-11-02
88,2020-11-03,No,2020-11-03,336624,2020,11,2020-11,2020-11-03 to 2020-11-09
89,2020-11-03,Yes,2020-11-03,11467,2020,11,2020-11,2020-11-03 to 2020-11-09
90,2020-11-10,No,2020-11-10,363259,2020,11,2020-11,2020-11-10 to 2020-11-16
91,2020-11-10,Yes,2020-11-10,13325,2020,11,2020-11,2020-11-10 to 2020-11-16
92,2020-11-17,No,2020-11-17,386256,2020,11,2020-11,2020-11-17 to 2020-11-23
93,2020-11-17,Yes,2020-11-17,15790,2020,11,2020-11,2020-11-17 to 2020-11-23
94,2020-11-24,No,2020-11-24,361164,2020,11,2020-11,2020-11-24 to 2020-11-30
95,2020-11-24,Yes,2020-11-24,16677,2020,11,2020-11,2020-11-24 to 2020-11-30
96,2020-12-01,No,2020-12-01,391631,2020,12,2020-12,2020-12-01 to 2020-12-07
97,2020-12-01,Yes,2020-12-01,18405,2020,12,2020-12,2020-12-01 to 2020-12-07
98,2020-12-08,No,2020-12-08,358231,2020,12,2020-12,2020-12-08 to 2020-12-14
99,2020-12-08,Yes,2020-12-08,19468,2020,12,2020-12,2020-12-08 to 2020-12-14
100,2020-12-15,No,2020-12-15,328291,2020,12,2020-12,2020-12-15 to 2020-12-21
101,2020-12-15,Yes,2020-12-15,19278,2020,12,2020-12,2020-12-15 to 2020-12-21
102,2020-12-22,No,2020-12-22,363057,2020,12,2020-12,2020-12-22 to 2020-12-28
103,2020-12-22,Yes,2020-12-22,18782,2020,12,2020-12,2020-12-22 to 2020-12-28
104,2020-12-29,No,2020-12-29,422117,2020,12,2020-12,2020-12-29 to 2021-01-04
105,2020-12-29,Yes,2020-12-29,20563,2020,12,2020-12,2020-12-29 to 2021-01-04
106,2021-01-05,No,2021-01-05,411771,2021,1,2021-01,2021-01-05 to 2021-01-11
